Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
ef58ea08-d883-3957-8300-150554edc8fb,HEALTHALLIANCE HOSPITALS  INC,60 HOSPITAL ROAD,LEOMINSTER,MA,01453,42.520838,-71.770876,9784662000,11753.55999999999,91
69176529-fd1f-3b3f-abce-a0a3626769eb,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,6174923500,1498.2500000000002,12
5e765f2b-e908-3888-9fc7-df2cb87beb58,STURDY MEMORIAL HOSPITAL,211 PARK STREET,ATTLEBORO,MA,02703,41.931653,-71.294503,5082225200,14207.599999999988,110
f1fbcbfb-fcfa-3bd2-b7f4-df20f1b3c3a4,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,01842,42.700273,-71.161357,9786834000,15111.719999999987,117
e002090d-4e92-300e-b41e-7d1f21dee4c6,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,02138,42.375967,-71.118275,6176652300,19244.839999999982,149
ef6ab57c-ed94-3dbe-9861-812d515918b3,CAPE COD HOSPITAL,88 LEWIS BAY ROAD,HYANNIS,MA,02601,41.748854,-70.74053599999998,5087711800,2454.04,19
49318f80-bd8b-3fc7-a096-ac43088b0c12,COOLEY DICKINSON HOSPITAL INC THE,30 LOCUST STREET,NORTHAMPTON,MA,01060,42.327044,-72.67463000000002,4135822000,12786.83999999999,99
8b58cdd1-3d79-3126-8fe0-da2c54d6805c,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,02124,42.33196,-71.020173,6175062000,4908.079999999997,38
4bdaa4c2-c664-3089-aee2-7137abbad27f,HARRINGTON MEMORIAL HOSPITAL-1,100 SOUTH STREET,SOUTHBRIDGE,MA,01550,42.059669,-72.03404,5087659771,2195.7200000000003,17
ecc51621-0af3-3b35-ac3e-8b1e34022e92,SAINT ANNE'S HOSPITAL,795 MIDDLE STREET,FALL RIVER,MA,02721,41.725351,-71.094162,5086745600,15757.519999999986,123
5d4b9df1-93ae-3bc9-b680-03249990e558,HOLYOKE MEDICAL CENTER,575 BEECH STREET,HOLYOKE,MA,01040,42.211656,-72.642448,4135342500,7878.759999999994,61
37b4d73f-652d-3033-a16e-d97b9e8b4cda,ANNA JAQUES HOSPITAL,25 HIGHLAND AVENUE,NEWBURYPORT,MA,01950,42.812141,-70.886646,9784631000,10720.279999999992,83
5844ad77-f653-3c2b-b7dd-e97576ab3b03,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,40 WRIGHT STREET,PALMER,MA,01069,42.187794,-72.30846899999997,4132837651,12011.87999999999,93
08bcda9c-f8c8-3244-82d4-fc306a7a55d3,BOSTON MEDICAL CENTER CORPORATION-,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,02118,42.33196,-71.020173,6176388000,1033.28,8
37c0de84-bcaf-3624-82bf-a89b2ac441b8,BEVERLY HOSPITAL CORPORATION,85 HERRICK STREET,BEVERLY,MA,01915,42.556659,-70.84496,9789223000,26864.680000000008,248
4861d01f-019c-3dac-a153-8334e50919f9,NORTH SHORE MEDICAL CENTER -,81 HIGHLAND AVENUE,SALEM,MA,01970,42.50128,-70.897502,9787411215,17307.439999999984,134
f71ce1a9-cca7-3295-9a1e-c88ac3479b6f,MARLBOROUGH HOSPITAL,157 UNION STREET,MARLBOROUGH,MA,01752,42.349617,-71.547214,5084815000,10720.279999999992,83
c44f361c-2efb-3050-8f97-0354a12e2920,SIGNATURE HEALTHCARE BROCKTON HOSPITAL,680 CENTER STREET,BROCKTON,MA,02302,42.082543,-71.024638,5089417000,41976.49000000033,359
331f4c11-d298-308b-aaa1-d7825b29b57f,CLINTON HOSPITAL ASSOCIATION,201 HIGHLAND STREET,CLINTON,MA,01510,42.411887,-71.690005,9783683000,5243.889999999998,41
b1ddf812-1fdd-3adf-b1d5-32cc8bd07ebb,BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,275 SANDWICH STREET,PLYMOUTH,MA,02360,41.897892,-70.62403,5087462000,645.8,5
6be05ccf-ef94-341f-a2a3-1cf9bfde1b18,ADCARE HOSPITAL OF WORCESTER INC,107 LINCOLN STREET,WORCESTER,MA,01605,42.269478,-71.807783,5087999000,19761.47999999998,153
b0e04623-b02c-3f8b-92ea-943fc4db60da,LOWELL GENERAL HOSPITAL,295 VARNUM AVENUE,LOWELL,MA,01854,42.638893,-71.32210699999997,9789376000,48305.66000000044,386
ebc3f5c4-6700-34af-8323-85621c313726,NOBLE HOSPITAL,115 WEST SILVER STREET,WESTFIELD,MA,01085,42.138838,-72.755911,4135682811,16661.639999999985,129
fd328395-ab1d-35c6-a2d0-d05a9a79cf11,MERCY MEDICAL CTR,271 CAREW STREET,SPRINGFIELD,MA,01104,42.115454,-72.539978,4137489000,7646.1999999999925,64
d692e283-0833-3201-8e55-4f868a9c0736,HALLMARK HEALTH SYSTEM,585 LEBANON STREET,MELROSE,MA,02176,42.455723,-71.05901899999998,7819793000,53601.40000000053,415
d78e84ec-30aa-3bba-a33a-f29a3a454662,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,02114,42.33196,-71.020173,6177262000,387.48,3
8ad64ecf-c817-3753-bee7-006a8e662e06,MORTON HOSPITAL,88 WASHINGTON STREET,TAUNTON,MA,02780,41.903323,-71.094984,5088287000,36423.12000000007,283
23834663-ed53-3da9-b330-d6e1ecb8428e,SOUTHCOAST HOSPITAL GROUP  INC,363 HIGHLAND AVENUE,FALL RIVER,MA,02720,41.725351,-71.094162,5086793131,3228.999999999999,25
44bef9d3-91c2-3005-93e0-ccf436348ff0,MASSACHUSETTS EYE AND EAR INFIRMARY -,243 CHARLES STREET,BOSTON,MA,02114,42.33196,-71.020173,6175237900,2841.5199999999995,22
60457c13-adb2-3415-82c5-86ab5dab5f93,BAYSTATE MEDICAL CENTER,759 CHESTNUT STREET,SPRINGFIELD,MA,01199,42.115454,-72.539978,4137940000,16532.479999999985,128
